发起实例,目标实例,互动次数
mstdn.ca,yeg.bike,14
mstdn.ca,ecoevo.social,1
mstdn.ca,mastodon.me.uk,10
mstdn.ca,flipboard.com,41
seal.cafe,decayable.ink,11
fedi.getimiskon.xyz,soc.sekundenklebertransportverbot.de,2
fedi.getimiskon.xyz,fedi.getimiskon.xyz,2
mastodon.xyz,mastodon.xyz,20
toot.krivokuca.dev,toot.krivokuca.dev,2
akko.wtf,java.duke.social,1
akko.wtf,kitsunes.club,1
schmaker.eu,blovice.bahnhof.cz,1
schmaker.eu,libera.site,1
zia.io,retrochat.online,1
inanimate.brainworms.nl,kind.social,1
inanimate.brainworms.nl,inanimate.brainworms.nl,1
lia.fail,piaille.fr,1
popindustry.org,popindustry.org,52
sunny.garden,sunny.garden,11
eientei.org,fluf.club,2
eientei.org,lizards.live,1
eientei.org,strelizia.net,1
eientei.org,ryona.agency,2
follow.agwa.name,mastodon.social,1
gamepad.club,gamepad.club,5
social.chinwag.org,social.chinwag.org,8
xn--baw-joa.social,xn--baw-joa.social,2
annihilation.social,parcero.bond,27
annihilation.social,postnstuffds.lol,30
eientei.org,cyberpunk.lol,1
social.vlhl.dev,woem.space,2
mental.social,mental.social,8
toad.social,toad.social,24
kirakiratter.com,kirakiratter.com,3
eveningzoo.club,annihilation.social,6
post.ebin.club,polyglot.city,1
post.ebin.club,mastodontti.fi,1
feuerwehr.social,feuerwehr.social,3
xarxa.cloud,xarxa.cloud,17
annihilation.social,eveningzoo.club,14
decayable.ink,annihilation.social,31
donotsta.re,functional.cafe,1
donotsta.re,masto.doskel.net,1
mastodon.au,mastodon.au,18
musician.social,musician.social,6
foresdon.jp,foresdon.jp,4
fedi.aria.dog,woem.men,1
social.shadowkat.net,catwithaclari.net,1
fedi.aria.dog,social.treehouse.systems,2
digitalstuntfactory.com,digitalstuntfactory.com,1
annihilation.social,netzsphaere.xyz,10
annihilation.social,loli.rodeo,1
allthingstech.social,allthingstech.social,2
mstdn.ca,mastodon.au,11
mstdn.ca,pagan.plus,4
mstdn.ca,mastodon.ie,12
mstdn.ca,avgeek.social,1
mstdn.ca,fedi.adamm.cc,14
mstdn.ca,social.chinwag.org,2
shigusegubu.club,tuusin.misono-ya.info,1
shigusegubu.club,furville.drinkanddrive.africa,1
shigusegubu.club,fedi.furfag.biz,3
norwoodzero.net,poa.st,14
shigusegubu.club,netzsphaere.xyz,3
norwoodzero.net,cawfee.club,2
class.lunanova.dev,plasmatrap.com,1
retrochat.online,retrochat.online,3
mapstodon.space,mapstodon.space,9
toot.blue,toot.blue,77
brain.worm.pink,social.karebu.gay,3
expressional.social,expressional.social,8
expressional.social,ieji.de,1
majestic12.airforce,detroitriotcity.com,4
cubhub.social,cubhub.social,8
corteximplant.com,corteximplant.com,8
akko.wtf,akko.wtf,3
fedi.furfag.biz,fedi.furfag.biz,9
fedi.furfag.biz,thicc.horse,1
livellosegreto.it,livellosegreto.it,20
helvede.net,helvede.net,4
aethy.com,aethy.com,11
tinylad.social,mastodon.social,2
ruby.social,ruby.social,21
chaosfem.tw,toot.lgbt,3
col.social,col.social,6
social.vlhl.dev,netzsphaere.xyz,3
social.vlhl.dev,zoner.work,1
social.kernel.org,fosstodon.org,1
social.kernel.org,mastodonczech.cz,1
toot.chez.gay,toot.chez.gay,1
thecanadian.social,thecanadian.social,2
mastodon.de,bonn.social,2
mastodon.de,chaos.social,8
mastodon.de,mastodon.social,17
mastodon.de,troet.cafe,25
mastodon.de,fem.social,1
mastodon.de,det.social,1
mastodon.de,swiss.social,1
klezmor.im,klezmor.im,2
is.badat.dev,mk.absturztau.be,4
social.earth.li,chaos.social,1
freesoftwareextremist.com,ligma.pro,1
freesoftwareextremist.com,fedi.layer02.net,1
petroskowo.pl,mastodon.nzoss.nz,1
23.social,23.social,1
mstdn.y-zu.org,mstdn.y-zu.org,13
esq.social,esq.social,9
seaofog.com,seaofog.com,14
akko.wtf,fedi.bungle.online,1
pouet.chapril.org,pouet.chapril.org,15
donphan.social,donphan.social,3
mirus.club,mirus.club,8
qdon.space,qdon.space,36
pleroma.soykaf.com,stereophonic.space,1
pleroma.soykaf.com,mk.asie.pl,1
pleroma.soykaf.com,netzsphaere.xyz,1
pleroma.soykaf.com,shitposter.world,4
awoo.fai.st,fedi.xerz.one,1
spinster.xyz,bird.makeup,1
chaosfem.tw,girlcock.club,1
speedlines.stctp.zone,speedlines.stctp.zone,5
kazv.moe,kazv.moe,1
net4sw.com,net4sw.com,2
mstdn.nere9.help,mstdn.nere9.help,37
shitpost.cloud,greatape.casa,1
shitpost.cloud,shitposter.world,6
shitpost.cloud,girlboss.gaslight.love,1
shitpost.cloud,clubcyberia.co,7
goatdaddy.net,goatdaddy.net,1
bookwor.ms,bookwor.ms,7
ludosphere.fr,ludosphere.fr,19
mstdn.ca,mastodon.green,8
mstdn.ca,oliphant.social,1
mstdn.ca,oc.todon.fr,1
mstdn.ca,mstdn.party,9
spinster.xyz,gleasonator.com,1
social.xenofem.me,greatape.casa,1
woof.group,woof.group,13
mstdn.ca,c.im,26
mstdn.ca,mstdn.games,11
mstdn.ca,mstdn.chrisalemany.ca,21
mstdn.ca,tvwatch.party,4
xyzzy.link,ak.ari.lt,1
genomic.social,genomic.social,5
xyzzy.link,desu.social,1
xyzzy.link,mk.absturztau.be,1
urusai.social,urusai.social,20
expressional.social,mstdn.social,10
expressional.social,helvede.net,4
