发起实例,目标实例,互动次数
famichiki.jp,famichiki.jp,787
mementomori.social,mementomori.social,74
tux.social,tux.social,2
mastodontech.de,mastodontech.de,39
freiburg.social,freiburg.social,61
xn--p1abe3d.xn--80asehdb,sacred.harpy.faith,2
social.helios42.de,social.helios42.de,2
locksport.space,locksport.space,2
decayable.ink,nicecrew.digital,340
decayable.ink,clew.lol,50
social.spejset.org,social.spejset.org,8
social.xenofem.me,hellspawn.gay,3
decayable.ink,eveningzoo.club,37
decayable.ink,shitposter.world,12
decayable.ink,norwoodzero.net,1
social.adridoesthings.com,social.adridoesthings.com,43
shakedown.social,shakedown.social,142
chalk.moe,chalk.moe,21
techhub.social,techhub.social,258
annihilation.social,annihilation.social,547
precure.ml,precure.ml,34
annihilation.social,sacred.harpy.faith,29
annihilation.social,nicecrew.digital,432
annihilation.social,clubcyberia.co,22
annihilation.social,social.vivaldi.net,8
annihilation.social,poa.st,111
annihilation.social,noauthority.social,168
annihilation.social,www.minds.com,23
annihilation.social,majestic12.airforce,27
annihilation.social,detroitriotcity.com,9
mstdn.ca,universeodon.com,794
mstdn.ca,mas.to,959
mstdn.ca,calckey.world,9
mstdn.ca,fwoof.space,13
mstdn.ca,mastodon.scot,92
mofu.kemo.no,mofu.kemo.no,32
mstdn.ca,mstdn.moimeme.ca,41
eveningzoo.club,nicecrew.digital,77
eveningzoo.club,noauthority.social,28
eveningzoo.club,detroitriotcity.com,6
mstdn.ca,toots.ravenoak.dev,2
mstdn.ca,infosec.exchange,683
mstdn.ca,mastodon.bsd.cafe,9
mstdn.ca,cosocial.ca,39
mstdn.ca,toot.wales,14
micro.marcriera.cat,micro.marcriera.cat,3
mstdn.ca,sigmoid.social,1
mstdn.ca,socialbc.ca,4
mstdn.ca,toot.io,3
mstdn.ca,veganism.social,2
akko.wtf,social.vlhl.dev,10
akko.wtf,eepy.moe,5
akko.wtf,brotka.st,2
mastodon.sdf.org,mastodon.sdf.org,208
mstdn.ca,mastodon.sdf.org,36
mstdn.ca,hostux.social,4
mstdn.ca,sportsbots.xyz,14
mstdn.ca,stefanbohacek.online,3
mstdn.ca,toot.cat,18
mstdn.ca,theblower.au,12
mstdn.ca,mstdn.social,2385
mstdn.ca,ruby.social,1
mstdn.ca,toot.community,12
dice.camp,dice.camp,1708
seal.cafe,seal.cafe,37
ponies.social,ponies.social,228
argon.city,argon.city,4
oc.todon.fr,oc.todon.fr,27
queer.hacktivis.me,queer.hacktivis.me,1
social.nekoea.red,mastodon.ml,1
digipres.club,digipres.club,55
socel.net,socel.net,76
oldbytes.space,oldbytes.space,64
twiukraine.com,twiukraine.com,34
freesoftwareextremist.com,social.xenofem.me,3
freesoftwareextremist.com,suya.place,1
freesoftwareextremist.com,mi.shiromaru.work,1
freesoftwareextremist.com,catposter.club,1
freesoftwareextremist.com,minidisc.tokyo,3
freesoftwareextremist.com,infosec.exchange,4
freesoftwareextremist.com,mastodon.online,5
social.xenofem.me,hollow.raccoon.quest,1
toot.wales,toot.wales,193
seal.cafe,annihilation.social,14
social.kyiv.dcomm.net.ua,social.kyiv.dcomm.net.ua,49
lebalkon.de,norden.social,3
metalhead.club,metalhead.club,71
social.prepedia.org,social.prepedia.org,2
gruene.social,gruene.social,108
mastodon.de,climatejustice.social,12
mastodon.de,zdf.social,1
toot.kif.rocks,toot.kif.rocks,7
c7.io,c7.io,16
whinge.town,whinge.town,24
mstdn.ca,disabled.social,13
mstdn.ca,mapstodon.space,5
mstdn.ca,social.ridetrans.it,3
mastodon.com.br,mastodon.com.br,23
brain.worm.pink,lab.nyanide.com,12
expressional.social,f3d1.eu,1
expressional.social,pol.social,1
expressional.social,101010.pl,3
socially.drinkingatmy.computer,shortstacksran.ch,8
fedi.nlpagan.net,waag.social,1
mstdn.ca,mastodonapp.uk,95
mstdn.ca,lonestar.chat,2
clew.lol,decayable.ink,54
clew.lol,parcero.bond,1
clew.lol,mitra.taihou.website,6
clew.lol,ak.kyaruc.moe,3
clew.lol,mostr.pub,8
mstdn.ca,historians.social,18
mastodon.stickbear.me,babka.social,3
mastodon.stickbear.me,chatwithus.live,16
mastodon.stickbear.me,mastodon.stickbear.me,36
yourwalls.today,is.badat.dev,3
spinster.xyz,shitposter.world,36
decayable.ink,mugicha.club,3
decayable.ink,mostr.pub,2
decayable.ink,majestic12.airforce,6
decayable.ink,seal.cafe,17
brain.worm.pink,labyrinth.zone,6
brain.worm.pink,mk.noob.quest,8
clew.lol,annihilation.social,26
clew.lol,misskey.bubbletea.dev,1
clew.lol,seal.cafe,6
clew.lol,nicecrew.digital,61
clew.lol,majestic12.airforce,20
clew.lol,netzsphaere.xyz,4
clew.lol,shitpost.cloud,2
majestic12.airforce,seal.cafe,2
majestic12.airforce,clew.lol,40
majestic12.airforce,mostr.pub,1
majestic12.airforce,decayable.ink,31
majestic12.airforce,girlboss.gaslight.love,4
majestic12.airforce,posting.lolicon.rocks,1
indieweb.social,indieweb.social,67
clew.lol,lab.nyanide.com,1
clew.lol,hellspawn.gay,1
lepoulsdumonde.com,lepoulsdumonde.com,334
gohan-oisii.net,gohan-oisii.net,3
zy.gy,zy.gy,1
tootr.co,tootr.co,13
eveningzoo.club,poa.st,73
eveningzoo.club,gearlandia.haus,2
eveningzoo.club,clubcyberia.co,5
eveningzoo.club,eientei.org,1
mstdn.ca,zeroes.ca,53
mstdn.ca,tldr.nettime.org,8
mstdn.ca,techhub.social,69
