发起实例,目标实例,互动次数
mas.to,toot.fedilab.app,4
social.coop,toot.fedilab.app,1
theres.life,toot.fedilab.app,1
mstdn.social,toot.fedilab.app,2
hachyderm.io,toot.fedilab.app,1
digitalcourage.social,toot.fedilab.app,1
det.social,toot.fedilab.app,3
chaos.social,toot.fedilab.app,4
old.mermaid.town,toot.fedilab.app,1
tech.lgbt,toot.fedilab.app,3
social.tchncs.de,toot.fedilab.app,5
layer8.space,toot.fedilab.app,1
dragonscave.space,toot.fedilab.app,1
anonsys.net,toot.fedilab.app,1
fedi.imzadi.de,toot.fedilab.app,2
geekdom.social,toot.fedilab.app,1
bzh.social,toot.fedilab.app,1
mastodon.online,toot.fedilab.app,6
myprivate.social,toot.fedilab.app,1
techhub.social,toot.fedilab.app,1
toot.community,toot.fedilab.app,1
fedia.io,toot.fedilab.app,1
mastodon.ml,toot.fedilab.app,1
infosec.exchange,toot.fedilab.app,6
framapiaf.org,toot.fedilab.app,1
aus.social,toot.fedilab.app,1
mathstodon.xyz,toot.fedilab.app,2
tkz.one,toot.fedilab.app,2
mastodon.scot,toot.fedilab.app,1
wien.rocks,toot.fedilab.app,2
mastodon.pcgaldo.com,toot.fedilab.app,1
furs.social,toot.fedilab.app,2
bonn.social,toot.fedilab.app,3
fediscience.org,toot.fedilab.app,1
nya.one,toot.fedilab.app,2
mastodon.gal,toot.fedilab.app,2
mastodon.de,toot.fedilab.app,4
mastodonczech.cz,toot.fedilab.app,1
mastodon.me.uk,toot.fedilab.app,1
vmst.io,toot.fedilab.app,1
shitposter.world,toot.fedilab.app,1
masto.ai,toot.fedilab.app,3
mstdn.io,toot.fedilab.app,2
rebel.ar,toot.fedilab.app,2
cultur.social,toot.fedilab.app,1
fosstodon.org,toot.fedilab.app,6
social.treehouse.systems,toot.fedilab.app,2
sunny.garden,toot.fedilab.app,1
rls.social,toot.fedilab.app,1
mastodon.cloud,toot.fedilab.app,1
cutie.city,toot.fedilab.app,1
social.vivaldi.net,toot.fedilab.app,1
chaosfem.tw,toot.fedilab.app,1
m.ai6yr.org,toot.fedilab.app,1
social.chatty.monster,toot.fedilab.app,1
